"Step","MAMO - ViT-S, BERT-S - itm_loss","MAMO - ViT-S, BERT-S - itm_loss__MIN","MAMO - ViT-S, BERT-S - itm_loss__MAX"
"0","0.8244192489034053","0.8244192489034053","0.8244192489034053"
"1","1.3109674392710295","1.3109674392710295","1.3109674392710295"
"2","1.20924738196809","1.20924738196809","1.20924738196809"
"3","1.1087146717578251","1.1087146717578251","1.1087146717578251"
"4","1.0403226436184028","1.0403226436184028","1.0403226436184028"
"5","0.9483517369178156","0.9483517369178156","0.9483517369178156"
"6","0.8398718472902268","0.8398718472902268","0.8398718472902268"
"7","0.7534820252909454","0.7534820252909454","0.7534820252909454"
"8","0.6785778963949863","0.6785778963949863","0.6785778963949863"
"9","0.615309386314382","0.615309386314382","0.615309386314382"
"10","0.5545022800262271","0.5545022800262271","0.5545022800262271"
"11","0.5090555302923692","0.5090555302923692","0.5090555302923692"
"12","0.4647958312620921","0.4647958312620921","0.4647958312620921"
"13","0.419682305907898","0.419682305907898","0.419682305907898"
"14","0.392129662089109","0.392129662089109","0.392129662089109"
"15","0.3590187868407524","0.3590187868407524","0.3590187868407524"
"16","0.3332201207166789","0.3332201207166789","0.3332201207166789"
"17","0.3090793715801422","0.3090793715801422","0.3090793715801422"
"18","0.2847507192135936","0.2847507192135936","0.2847507192135936"
"19","0.2621245050830775","0.2621245050830775","0.2621245050830775"
"20","0.24736697549149986","0.24736697549149986","0.24736697549149986"
"21","0.2374773014185577","0.2374773014185577","0.2374773014185577"
"22","0.21641156968429673","0.21641156968429673","0.21641156968429673"
"23","0.21600854667585873","0.21600854667585873","0.21600854667585873"
"24","0.20126237056735125","0.20126237056735125","0.20126237056735125"
"25","0.1878907945704139","0.1878907945704139","0.1878907945704139"
"26","0.18613401521408285","0.18613401521408285","0.18613401521408285"
"27","0.17987877587292142","0.17987877587292142","0.17987877587292142"
"28","0.17484427901068728","0.17484427901068728","0.17484427901068728"
"29","0.17087593663891568","0.17087593663891568","0.17087593663891568"
"30","0.1717473112502105","0.1717473112502105","0.1717473112502105"
"31","0.18041165930606154","0.18041165930606154","0.18041165930606154"
"32","0.17169883031404634","0.17169883031404634","0.17169883031404634"
"33","0.17043249947590208","0.17043249947590208","0.17043249947590208"
"34","0.1738586838242893","0.1738586838242893","0.1738586838242893"
